,undp_hdi,ccodealp,gle_cgdpc,imf_pop,wef_imort,who_alc2000,who_tobt,wdi_exph,ht_region
0,0.479,AFG,1282.64,29.82500076293945,,0.0099999998,,8.182273864746094,SouthAsia
1,0.76200002,ALB,8516.7002,,15.0,4.5100002,29.700001,5.883105278015137,EastEurope
2,0.74299997,DZA,5402.1699,39.11399841308594,17.20000076293945,0.52999997,,7.207178115844727,NorthAfrica
3,0.85699999,AND,32367.33,,,9.9799995,33.099998,8.127135276794434,WesternDem
4,0.53100002,AGO,3771.2,25.78899955749512,99.5,8.3299999,,3.30698299407959,SubSaharian
5,0.78399998,ATG,12257.71,,,8.5600004,,5.541683197021484,Caribbean
6,0.75800002,AZE,9793.3096,9.342000007629396,30.79999923706055,2.1400001,23.5,6.036863327026367,EastEurope
7,0.82599998,ARG,15102.61,41.73300170898438,12.69999980926514,7.9299998,25.299999,4.785916328430176,LatAm
8,0.93699998,AUS,38611.949,23.62100028991699,4.099999904632568,9.71,16.0,9.422300338745115,WesternDem
9,0.89200002,AUT,38868.039,8.543999671936035,3.299999952316284,12.32,,11.20547294616699,WesternDem
10,0.79000002,BHS,21672.029,0.3560000061988831,,9.4499998,,7.742364883422852,Caribbean
11,0.82300001,BHR,22498.48,1.26800000667572,8.199999809265137,1.5700001,30.299999,4.980796337127686,NorthAfrica
12,0.57499999,BGD,1796.64,154.6950073242188,33.09999847412109,0.0099999998,21.799999,2.818998575210571,SouthAsia
13,0.741,ARM,6451.9399,2.980000019073486,14.69999980926514,3.9100001,28.0,4.480149269104004,EastEurope
14,0.79400003,BRB,22888.971,0.2790000140666962,16.89999961853027,8.8199997,7.0,7.469303131103516,Caribbean
15,0.89499998,BEL,33764.711,11.18099975585938,3.400000095367432,12.6,23.9,10.59475135803223,WesternDem
16,0.60399997,BTN,5639.02,0.765999972820282,35.70000076293945,0.23,,3.573014736175537,SouthAsia
17,0.671,BOL,4023.8701,10.07800006866455,32.79999923706055,3.6199999,,6.334827423095703,LatAm
18,0.74699998,BIH,8507.6504,3.871000051498413,5.699999809265137,4.0300002,39.200001,9.572015762329102,EastEurope
19,0.69800001,BWA,12770.73,,41.0,5.7600002,,5.412002563476563,SubSaharian
20,0.75400001,BRA,9815.2402,202.7689971923828,12.89999961853027,7.3200002,16.1,8.322834014892578,LatAm
21,0.70599997,BLZ,6649.1401,0.3499999940395355,15.69999980926514,6.5799999,,5.788949966430664,Caribbean
22,0.514,SLB,2113.0601,0.5619999766349792,,0.99000001,,5.05106258392334,Pacific
23,0.86400002,BRN,46103.84,0.4120000004768372,5.599999904632568,0.97000003,16.4,2.648162841796875,SouthEastAsia
24,0.792,BGR,13967.45,7.202000141143799,10.5,12.03,36.799999,8.442913055419922,EastEurope
25,0.55199999,MMR,5733.3701,51.41899871826172,41.09999847412109,0.69999999,20.0,2.275754690170288,SouthEastAsia
26,0.40599999,BDI,663.57001,,66.9000015258789,4.1599998,,7.535565376281738,SubSaharian
27,0.79799998,BLR,17780.641,9.468000411987305,,13.94,27.9,5.687721729278565,EastEurope
28,0.55800003,KHM,1927.0601,14.60499954223633,33.90000152587891,2.1199999,23.0,5.675638675689697,SouthEastAsia
29,0.514,CMR,2658.51,,61.09999847412109,6.1900001,18.799999,4.103671550750732,SubSaharian
30,0.91900003,CAN,36577.078,35.49599838256836,4.699999809265137,8.1000004,16.200001,10.44958209991455,WesternDem
31,0.64600003,CPV,3972.6101,0.5120000243186951,18.89999961853027,5.0700002,12.2,4.759696006774902,SubSaharian
32,0.347,CAF,690.03998,,,1.66,,4.200222015380859,SubSaharian
33,0.764,LKA,5466.8701,20.54100036621094,8.300000190734863,2.3699999,14.1,3.503350019454956,SouthAsia
34,0.39399999,TCD,1651.05,,89.4000015258789,0.63999999,,3.621164321899414,SubSaharian
35,0.84500003,CHL,15519.08,17.81900024414063,7.800000190734863,7.1599998,38.900002,7.785857677459717,LatAm
36,0.73400003,CHN,9283.3799,,12.10000038146973,5.7800002,25.9,5.548227787017822,EastAsia
37,,TWN,33965.871,23.43400001525879,3.934564113616943,,,,EastAsia
38,0.72399998,COL,8761.1396,47.6619987487793,15.10000038146973,4.3800001,11.6,7.201298713684082,LatAm
39,0.498,COM,972.35999,0.7760000228881836,,0.12,15.3,6.747642993927002,SubSaharian
40,0.58999997,COG,2369.8401,,,3.8199999,18.5,5.151411533355713,SubSaharian
41,0.42500001,COD,324.16,,74.5,1.8200001,,4.32823371887207,SubSaharian
42,0.77499998,CRI,9485.71,,8.600000381469727,3.45,14.2,9.313112258911133,LatAm
43,0.82300001,HRV,18020.41,4.23799991607666,4.0,12.14,36.0,7.803241729736328,EastEurope
44,0.773,CUB,5899.9399,,,4.3699999,36.099998,11.05880069732666,LatAm
45,0.85399997,CYP,27207.07,0.8579999804496765,2.5,9.04,,7.367611408233643,NorthAfrica
46,0.875,CZE,23847.08,10.51200008392334,3.099999904632568,12.68,33.400002,7.410911560058594,EastEurope
47,0.48100001,BEN,1413.05,10.31999969482422,56.20000076293945,1.4,8.8000002,4.594296455383301,SubSaharian
48,0.92299998,DNK,37406.762,5.626999855041504,3.0,9.6400003,18.9,10.80495738983154,WesternDem
49,0.72399998,DMA,12613.72,,,5.46,,5.485832691192627,Caribbean
50,0.71799999,DOM,10376.63,,22.79999923706055,5.9200001,14.5,4.375777721405029,LatAm
51,0.73900002,ECU,7259.52,15.77499961853027,19.10000038146973,3.8199999,9.0,9.161087989807127,LatAm
52,0.67799997,SLV,332.26999,,13.60000038146973,2.52,,6.772402763366699,LatAm
53,0.58200002,GNQ,15412.43,,,10.72,,3.804079055786133,SubSaharian
54,0.44100001,ETH,900.77002,88.34700012207031,46.5,1.86,4.6999998,4.884313106536865,SubSaharian
55,0.41800001,ERI,1007.28,,,0.62,,3.338293075561523,SubSaharian
56,0.86299998,EST,19768.039,1.315999984741211,2.900000095367432,,33.200001,6.379294395446777,EastEurope
57,0.73400003,FJI,3848.72,0.8799999952316284,,,26.5,4.487498760223389,Pacific
58,0.89300001,FIN,36958.211,5.427000045776367,2.400000095367432,8.8000002,21.799999,9.679908752441406,WesternDem
59,0.89399999,FRA,34007.898,64.02799987792969,3.400000095367432,11.5,28.1,11.53951930999756,WesternDem
60,0.47,DJI,2685.5,,,0.38,,10.56825637817383,SubSaharian
61,0.69400001,GAB,14525.28,,42.40000152587891,8.8599997,,3.437471628189087,SubSaharian
62,0.76800001,GEO,7148.5698,3.730000019073486,17.79999923706055,6.1300001,30.0,7.416659355163574,EastEurope
63,0.44999999,GMB,1601.88,,49.20000076293945,3.4100001,,7.340400695800781,SubSaharian
64,0.92400002,DEU,39486.699,80.98300170898438,3.400000095367432,11.03,30.700001,11.29700088500977,WesternDem
65,0.57499999,GHA,2584.6001,,48.59999847412109,1.64,6.3000002,3.557291984558106,SubSaharian
66,0.58600003,KIR,1532.65,0.1070000007748604,,0.52999997,54.0,10.21295070648193,Pacific
67,0.86500001,GRC,25295.27,10.92700004577637,4.099999904632568,7.5300002,43.400002,8.084266662597656,WesternDem
68,0.75099999,GRD,8314.5596,,,8.4200001,,6.09761381149292,Caribbean
69,0.63700002,GTM,4438.0,,26.5,1.88,,6.202301502227783,LatAm
70,0.414,GIN,993.83002,11.74499988555908,65.19999694824219,0.22,,5.644797801971436,SubSaharian
71,0.63800001,GUY,2042.8199,0.7559999823570251,29.0,7.6399999,,5.247803688049316,Caribbean
72,0.49000001,HTI,1024.9399,,56.5,5.6799998,11.8,7.555654048919678,LatAm
73,0.62300003,HND,3303.1399,,19.39999961853027,2.8699999,18.9,8.72268009185791,LatAm
74,0.83399999,HUN,18310.811,9.876999855041504,5.300000190734863,10.88,29.6,7.400781154632568,EastEurope
75,0.91900003,ISL,31313.609,0.3289999961853027,1.799999952316284,7.4499998,17.5,8.859166145324707,WesternDem
76,0.61500001,IND,4256.79,,43.79999923706055,3.0699999,12.4,4.685088157653809,SouthAsia
77,0.68599999,IDN,4780.0098,252.1649932861328,25.79999923706055,0.090000004,38.5,2.84686017036438,SouthEastAsia
78,0.77399999,IRN,12889.28,75.1500015258789,15.10000038146973,0.029999999,11.7,6.894922256469727,NorthAfrica
79,0.64899999,IRQ,4178.2598,32.57799911499023,,0.17,,5.538873195648193,NorthAfrica
80,0.92000002,IRL,46422.07,4.620999813079834,3.400000095367432,10.75,23.200001,7.783196449279785,WesternDem
81,0.898,ISR,25926.25,8.211999893188477,3.299999952316284,2.6199999,30.4,7.808308124542236,NorthAfrica
82,0.88099998,ITA,32931.672,60.78300094604492,3.200000047683716,7.5599999,24.200001,9.247918128967283,WesternDem
83,0.46599999,CIV,1354.29,22.52400016784668,76.19999694824219,3.1500001,,5.716273784637451,SubSaharian
84,0.72899997,JAM,4668.77,2.799000024795532,14.39999961853027,3.8299999,17.6,5.36152458190918,Caribbean
85,0.90200001,JPN,36123.77,127.120002746582,2.200000047683716,7.5500002,22.799999,10.22874450683594,EastAsia
86,0.79299998,KAZ,14098.88,17.42200088500977,16.70000076293945,6.29,26.299999,4.355939865112305,EastEurope
87,0.741,JOR,5188.9199,6.675000190734863,16.39999961853027,0.41,38.400002,7.452995777130127,NorthAfrica
88,0.55000001,KEN,1494.63,40.70000076293945,48.70000076293945,1.84,13.6,5.720291137695313,SubSaharian
89,,PRK,1727.8199,,,3.3499999,,,EastAsia
90,0.89899999,KOR,33181.891,50.74700164794922,3.299999952316284,9.3299999,27.4,7.373112678527832,EastAsia
91,0.79900002,KWT,64342.711,3.999000072479248,9.5,0.02,,3.042368412017822,NorthAfrica
92,0.662,KGZ,3010.24,5.894999980926514,23.60000038146973,3.28,26.4,6.483762264251709,EastEurope
93,0.58200002,LAO,2926.77,6.89799976348877,54.0,5.3899999,34.0,1.865545511245728,SouthEastAsia
94,0.76300001,LBN,14711.97,4.382999897003174,8.0,1.3200001,37.0,6.3937087059021,NorthAfrica
95,0.495,LSO,1539.79,,74.19999694824219,2.3900001,25.4,10.61767673492432,SubSaharian
96,0.82800001,LVA,16583.67,2.000999927520752,7.599999904632568,10.37,35.900002,5.880693435668945,EastEurope
97,0.42699999,LBR,488.26999,,53.59999847412109,3.72,14.2,10.03633308410645,SubSaharian
98,0.71899998,LBY,4102.8398,6.265999794006348,13.19999980926514,0.0,,4.968935012817383,NorthAfrica
99,0.91100001,LIE,102243.52,,,,,,WesternDem
100,0.84600002,LTU,17559.75,2.931999921798706,4.400000095367432,15.19,30.1,6.552116870880127,EastEurope
101,0.89600003,LUX,61404.48,0.550000011920929,1.700000047683716,11.12,24.4,6.937873363494873,WesternDem
102,0.51099998,MDG,822.62,,40.90000152587891,0.87,,3.041355133056641,SubSaharian
103,0.47299999,MWI,938.34998,17.60400009155273,46.0,1.23,16.299999,11.37795639038086,SubSaharian
104,0.787,MYS,12284.27,30.70899963378906,7.300000190734863,0.51999998,22.299999,4.169077873229981,SouthEastAsia
105,0.70099998,MDV,13349.76,0.335999995470047,,1.92,,13.7335205078125,SouthAsia
106,0.43799999,MLI,1063.26,14.85400009155273,79.5999984741211,0.61000001,18.6,6.862166404724121,SubSaharian
107,0.85299999,MLT,24094.641,0.425000011920929,5.800000190734863,8.4899998,25.9,9.749919891357422,WesternDem
108,0.51300001,MRT,2223.01,3.36899995803833,64.80000305175781,0.0099999998,22.299999,3.772699117660523,SubSaharian
109,0.77899998,MUS,10944.54,1.261000037193298,13.0,3.03,21.9,4.809544563293457,SubSaharian
110,0.75800002,MEX,13609.42,119.7129974365234,13.89999961853027,5.2600002,14.5,6.296421051025391,LatAm
111,,MCO,108481.13,,,,,4.337683200836182,WesternDem
112,0.73299998,MNG,6277.8999,2.881999969482422,23.0,,26.799999,4.730341911315918,EastAsia
113,0.70099998,MDA,4207.8701,3.555000066757202,15.10000038146973,9.9899998,23.799999,10.32365608215332,EastEurope
114,0.80400002,MNE,14538.52,0.621999979019165,5.5,6.5599999,,6.416542530059815,EastEurope
115,0.64499998,MAR,3999.5601,33.17900085449219,26.79999923706055,0.43000001,22.0,5.907778263092041,NorthAfrica
116,0.414,MOZ,852.39001,25.73299980163574,63.09999847412109,1.16,18.799999,6.975581645965576,SubSaharian
117,0.79500002,OMN,26158.73,3.717000007629395,10.0,0.40000001,13.5,3.553939580917358,NorthAfrica
118,0.63700002,NAM,4521.29,,28.29999923706055,7.8400002,23.799999,8.928688049316406,SubSaharian
119,,NRU,3130.47,0.0120000001043081,,,48.900002,3.32664942741394,Pacific
120,0.55500001,NPL,1462.08,28.17499923706055,33.59999847412109,0.27000001,24.6,5.797225952148438,SouthAsia
121,0.92299998,NLD,42258.352,16.86499977111816,3.400000095367432,8.6800003,25.700001,10.89729309082031,WesternDem
122,0.59799999,VUT,2877.01,0.2569999992847443,,0.85000002,,5.023574829101563,Pacific
123,0.91299999,NZL,26481.369,4.554999828338623,4.699999809265137,9.0699997,17.6,11.02960968017578,WesternDem
124,0.64200002,NIC,2527.1001,5.946000099182129,20.60000038146973,3.55,,9.040139198303224,LatAm
125,0.35100001,NER,644.53998,,,0.15000001,8.3999996,5.821299076080322,SubSaharian
126,0.52499998,NGA,2246.8201,160.3419952392578,77.80000305175781,8.3000002,8.8999996,3.668798446655273,SubSaharian
127,0.94800001,NOR,57634.77,5.156000137329102,2.200000047683716,6.0599999,24.1,9.719717979431152,WesternDem
128,0.63700002,FSM,2624.05,0.1019999980926514,,1.58,,13.7069149017334,Pacific
129,,MHL,2833.97,0.0540000014007092,,,,17.13572311401367,Pacific
130,0.78299999,PLW,9392.5996,0.0179999992251396,,,,9.021533012390137,Pacific
131,0.54799998,PAK,2855.55,186.1900024414063,69.30000305175781,0.039999999,22.6,2.613916397094727,SouthAsia
132,0.78500003,PAN,15137.04,3.788000106811523,15.89999961853027,6.7399998,7.4000001,8.025723457336426,LatAm
133,0.51499999,PNG,1693.54,6.880000114440918,,0.88,,4.263570785522461,Pacific
134,0.69199997,PRY,4812.9199,6.559000015258789,18.79999923706055,5.0300002,19.5,9.81442165374756,LatAm
135,0.73699999,PER,9227.1504,30.80900001525879,14.10000038146973,5.3800001,,5.473034858703613,LatAm
136,0.67900002,PHL,3953.1001,100.1490020751953,23.5,4.52,26.700001,4.709985256195068,SouthEastAsia
137,0.852,POL,19990.939,38.01800155639648,4.300000190734863,10.71,29.4,6.350246429443359,EastEurope
138,0.84100002,PRT,23744.631,10.40100002288818,2.900000095367432,9.8800001,22.6,9.501075744628906,WesternDem
139,0.421,GNB,961.26001,,,3.5699999,,5.593137264251709,SubSaharian
140,0.60299999,TLS,1957.8101,1.146000027656555,47.79999923706055,0.5,,1.475303411483765,SouthEastAsia
141,0.85500002,QAT,104049.44,2.045000076293945,6.300000190734863,1.15,,2.18706226348877,NorthAfrica
142,0.79799998,ROU,14563.14,19.95299911499023,10.69999980926514,9.5900002,30.5,5.565009117126465,EastEurope
143,0.80500001,RUS,19063.689,143.4290008544922,8.899999618530273,10.12,39.5,7.070408344268799,EastEurope
144,0.493,RWA,1440.39,10.19999980926514,38.79999923706055,8.3400002,,7.531550884246826,SubSaharian
145,0.76200002,KNA,11237.75,,,8.6800003,,5.080365180969238,Caribbean
146,0.73500001,LCA,11095.8,0.1669999957084656,,9.9700003,,6.719041347503662,Caribbean
147,0.72000003,VCT,7454.8799,0.1099999994039536,,7.0100002,,8.630239486694336,Caribbean
148,,SMR,42664.211,0.034000001847744,,,,6.129065036773682,WesternDem
149,0.565,STP,2150.55,,,5.6900001,,8.353466033935547,SubSaharian
150,0.84500003,SAU,20872.711,30.77000045776367,7.400000095367432,0.090000004,17.1,4.684084892272949,NorthAfrica
151,0.491,SEN,1527.99,,45.20000076293945,0.25999999,11.1,4.664971828460693,SubSaharian
152,0.77499998,SRB,11343.92,7.166999816894531,5.699999809265137,9.0900002,42.099998,10.36881160736084,EastEurope
153,0.78100002,SYC,9583.3203,0.0900000035762787,11.19999980926514,9.7200003,26.700001,3.369816780090332,SubSaharian
154,0.43099999,SLE,979.95001,6.23199987411499,117.4000015258789,3.78,34.400002,11.0899019241333,SubSaharian
155,0.92400002,SGP,54268.148,5.46999979019165,2.299999952316284,1.83,16.200001,4.922791957855225,SouthEastAsia
156,0.84200001,SVK,21776.34,5.415999889373779,6.300000190734863,10.6,28.799999,8.054047584533691,EastEurope
157,0.67799997,VNM,4147.5698,89.69100189208984,18.39999961853027,4.0900002,23.700001,7.066778182983398,SouthEastAsia
158,0.88800001,SVN,24456.561,2.061000108718872,2.5,10.46,20.9,9.23388671875,EastEurope
159,,SOM,1436.74,,,0.0,,,SubSaharian
160,0.66500002,ZAF,8820.0596,54.14699935913086,33.29999923706055,7.3800001,18.9,8.796984672546387,SubSaharian
161,0.50700003,ZWE,15997.67,12.45899963378906,55.70000076293945,6.5,,6.439471244812012,SubSaharian
162,0.88200003,ESP,31086.35,46.45500183105469,3.799999952316284,9.25,30.299999,9.02988624572754,WesternDem
163,0.421,SSD,,,,,,2.738420724868774,SubSaharian
164,0.48800001,SDN,,,,,,8.4287748336792,SubSaharian
165,0.72299999,SUR,6049.1499,0.546999990940094,18.5,6.3200002,,5.687469959259033,Caribbean
166,0.54100001,SWZ,4110.0498,1.105999946594238,55.70000076293945,5.1999998,10.2,9.25193977355957,SubSaharian
167,0.90899998,SWE,39000.91,9.645000457763672,2.299999952316284,7.3000002,21.9,11.92984008789063,WesternDem
168,0.93800002,CHE,50454.41,8.140000343322754,3.700000047683716,9.6099997,24.1,11.65926837921143,WesternDem
169,0.55299997,SYR,4284.4199,,14.19999980926514,0.75999999,,3.254531145095825,NorthAfrica
170,0.625,TJK,3592.6499,8.131999969482422,49.0,0.31999999,,6.880884170532227,EastEurope
171,0.73799998,THA,9295.5703,68.65699768066406,11.39999961853027,6.4099998,21.5,4.122164249420166,SouthEastAsia
172,0.484,TGO,1036.28,6.928999900817871,,1.4400001,,5.24687671661377,SubSaharian
173,0.71799999,TON,3962.0601,0.1040000021457672,,0.95999998,30.200001,5.176770687103272,Pacific
174,0.77899998,TTO,22089.16,1.353999972343445,18.39999961853027,6.9400001,,5.933197021484375,Caribbean
175,0.83600003,ARE,20310.109,,7.199999809265137,1.91,,3.643985748291016,NorthAfrica
176,0.72299999,TUN,6912.2798,,13.80000019073486,1.39,,7.003858089447022,NorthAfrica
177,0.764,TUR,16900.711,77.69599914550781,12.19999980926514,1.45,27.0,5.41495943069458,NorthAfrica
178,0.68800002,TKM,13217.39,,,2.9000001,,2.067386150360107,EastEurope
179,,TUV,3174.05,0.0109999999403954,,1.34,,16.5366382598877,Pacific
180,0.48800001,UGA,1343.45,37.59999847412109,45.40000152587891,10.22,10.3,7.222136974334717,SubSaharian
181,0.74800003,UKR,9326.7197,42.7599983215332,9.199999809265137,8.0600004,30.700001,7.095736026763916,EastEurope
182,0.74599999,MKD,9610.5996,2.069000005722046,6.5,1.13,,6.476374626159668,EastEurope
183,0.68800002,EGY,5598.2598,86.69999694824219,17.89999961853027,0.20999999,23.799999,5.642115116119385,NorthAfrica
184,0.90799999,GBR,34791.051,64.59700012207031,4.099999904632568,10.37,20.299999,9.115471839904783,WesternDem
185,0.51899999,TZA,1416.3,43.88000106811523,37.70000076293945,4.1999998,16.299999,5.580115795135498,SubSaharian
186,0.91799998,USA,47769.699,318.7890014648438,6.0,8.8199997,18.1,17.14075469970703,WesternDem
187,0.39899999,BFA,1095.96,16.5,65.80000305175781,4.6399999,19.1,4.960263252258301,SubSaharian
188,0.79400003,URY,12804.84,3.453999996185303,6.199999809265137,6.0300002,24.799999,8.581491470336914,LatAm
189,0.69700003,UZB,7370.7202,29.74600028991699,,2.8299999,13.3,5.838521957397461,EastEurope
190,0.76899999,VEN,10513.96,,13.10000038146973,6.4699998,,5.256702423095703,LatAm
191,0.70200002,WSM,3167.75,0.1920000016689301,,2.1500001,32.0,7.215108871459961,Pacific
192,0.49900001,YEM,2170.9299,,46.29999923706055,0.039999999,,5.636990070343018,NorthAfrica
193,0.57599998,ZMB,1916.79,,56.40000152587891,2.4100001,15.9,4.986764907836914,SubSaharian
